asdf_id,udel_air_temp_v501_mean.2000.max,udel_air_temp_v501_mean.2000.mean,udel_air_temp_v501_mean.2000.min,udel_air_temp_v501_mean.2001.max,udel_air_temp_v501_mean.2001.mean,udel_air_temp_v501_mean.2001.min,udel_air_temp_v501_mean.2002.max,udel_air_temp_v501_mean.2002.mean,udel_air_temp_v501_mean.2002.min,udel_air_temp_v501_mean.2003.max,udel_air_temp_v501_mean.2003.mean,udel_air_temp_v501_mean.2003.min,udel_air_temp_v501_mean.2004.max,udel_air_temp_v501_mean.2004.mean,udel_air_temp_v501_mean.2004.min,udel_air_temp_v501_mean.2005.max,udel_air_temp_v501_mean.2005.mean,udel_air_temp_v501_mean.2005.min,udel_air_temp_v501_mean.2006.max,udel_air_temp_v501_mean.2006.mean,udel_air_temp_v501_mean.2006.min,udel_air_temp_v501_mean.2007.max,udel_air_temp_v501_mean.2007.mean,udel_air_temp_v501_mean.2007.min,udel_air_temp_v501_mean.2008.max,udel_air_temp_v501_mean.2008.mean,udel_air_temp_v501_mean.2008.min,udel_air_temp_v501_mean.2009.max,udel_air_temp_v501_mean.2009.mean,udel_air_temp_v501_mean.2009.min,udel_air_temp_v501_mean.2010.max,udel_air_temp_v501_mean.2010.mean,udel_air_temp_v501_mean.2010.min,udel_air_temp_v501_mean.2011.max,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2011.min,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,NAME_2,NAME_3,NAME_0,NAME_1,VARNAME_3,TYPE_3,Shape_Area,ENGTYPE_3,Shape_Length,NL_NAME_3,ID_3,ID_0,ID_1,ISO,ID_2,CCA_3,CCN_3
0,26.3833333333,26.3833333333,26.3833333333,26.7583333333,26.7583333333,26.7583333333,27.3333333333,27.3333333333,27.3333333333,27.225,27.225,27.225,26.7333333333,26.7333333333,26.7333333333,26.95,26.95,26.95,26.6583333333,26.6583333333,26.6583333333,26.9,26.9,26.9,27.0166666667,27.0166666667,27.0166666667,27.6666666667,27.6666666667,27.6666666667,27.2666666667,27.2666666667,27.2666666667,26.4583333333,26.4583333333,26.4583333333,25.95,25.95,25.95,25.9166666667,25.9166666667,25.9166666667,25.9333333333,25.9333333333,25.9333333333,26.2583333333,26.2583333333,26.2583333333,26.4666666667,26.4666666667,26.4666666667,26.1083333333,26.1083333333,26.1083333333,East Moyo,Adjumani Tc,Uganda,Adjumani,,Sub-county,0.001099,Sub-county,0.158465,,1,239,1,UGA,1,,
1,26.3833333333,26.3552749857,26.25,26.7833333333,26.7635942735,26.7583333333,27.3333333333,27.3298260399,27.3166666667,27.225,27.2127244729,27.1666666667,26.7333333333,26.7000140455,26.575,26.95,26.9114197719,26.7666666667,26.6583333333,26.6355359258,26.55,26.9,26.8719416523,26.7666666667,27.075,27.0289421938,27.0166666667,27.6916666667,27.6719276069,27.6666666667,27.2666666667,27.2473765526,27.175,26.4583333333,26.4109848716,26.2333333333,25.95,25.8816077775,25.625,25.9166666667,25.8465207975,25.5833333333,25.9333333333,25.8684484043,25.625,26.2583333333,26.1952020511,25.9583333333,26.4666666667,26.4000280909,26.15,26.1083333333,26.0364338174,25.7666666667,East Moyo,Adropi,Uganda,Adjumani,,Sub-county,0.021681,Sub-county,0.973831,,2,239,1,UGA,1,,
2,26.5833333333,26.1770068707,25.0833333333,26.7583333333,26.5139789517,25.425,27.525,27.1035615697,25.95,27.5333333333,26.9941828772,25.75,27.0083333333,26.5261363733,25.3833333333,27.15,26.7415894894,25.6333333333,26.8333333333,26.4421083577,25.3333333333,27.1416666667,26.680994388,25.5166666667,27.1333333333,26.7585887294,25.5416666667,27.875,27.4150119233,26.175,27.55,27.0495702408,25.8666666667,26.7333333333,26.2719768526,25.2,26.2416666667,25.7820521329,24.7666666667,26.1916666667,25.7657390008,24.7916666667,26.1666666667,25.7666028285,24.775,26.5333333333,26.0969854278,25.1166666667,26.7666666667,26.3131332262,25.325,26.375,25.948548702,24.95,East Moyo,Ciforo,Uganda,Adjumani,,Sub-county,0.071544,Sub-county,1.729312,,3,239,1,UGA,1,,
3,26.5,26.2812380157,26.0,27.1083333333,26.7559637983,26.5583333333,27.5166666667,27.2557066805,26.9416666667,27.3333333333,27.1044066267,26.725,26.8166666667,26.6231681958,26.35,27.05,26.840096291,26.575,26.875,26.5934744317,26.3583333333,27.0166666667,26.7999883283,26.525,27.3666666667,26.9944997155,26.7166666667,27.9416666667,27.6132528088,27.3,27.3833333333,27.1544101007,26.8166666667,26.4583333333,26.3096335313,26.0166666667,25.95,25.7742261419,25.5,25.9166666667,25.7520919887,25.5083333333,25.9333333333,25.7768295871,25.5333333333,26.2583333333,26.1156319349,25.9,26.4666666667,26.3026103986,26.0416666667,26.1083333333,25.9487080094,25.725,East Moyo,Dzaipi,Uganda,Adjumani,,Sub-county,0.043073,Sub-county,1.15769,,4,239,1,UGA,1,,
4,26.3833333333,26.1612979243,25.0833333333,26.7583333333,26.5306047087,25.425,27.3333333333,27.0970648853,25.95,27.225,26.973075209,25.75,26.7333333333,26.5027581009,25.3833333333,26.95,26.7251179832,25.6333333333,26.6583333333,26.4320280126,25.3333333333,26.9,26.6637315519,25.5166666667,27.0166666667,26.7647418757,25.5416666667,27.6666666667,27.4118952679,26.175,27.2666666667,27.0275516108,25.8666666667,26.4583333333,26.2434144438,25.2,25.95,25.7478908456,24.7666666667,25.9166666667,25.7245206396,24.7916666667,25.9333333333,25.7354940907,24.775,26.2583333333,26.0633406985,25.1166666667,26.4666666667,26.2716740318,25.325,26.1083333333,25.9104940907,24.95,East Moyo,Ofua,Uganda,Adjumani,,Sub-county,0.064669,Sub-county,1.312298,,5,239,1,UGA,1,,
5,26.3833333333,26.2718581597,25.0833333333,26.7583333333,26.6439998219,25.425,27.3333333333,27.2147123152,25.95,27.225,27.098518553,25.75,26.7333333333,26.617570653,25.3833333333,26.95,26.8370956575,25.6333333333,26.6583333333,26.5447144063,25.3333333333,26.9,26.7813789819,25.5166666667,27.0166666667,26.8901852196,25.5416666667,27.6666666667,27.5387560507,26.175,27.2666666667,27.1466164797,25.8666666667,26.4583333333,26.3504310819,25.2,25.95,25.8485290086,24.7666666667,25.9166666667,25.8201977664,24.7916666667,25.9333333333,25.8340060953,24.775,26.2583333333,26.1604352642,25.1166666667,26.4666666667,26.3687685975,25.325,26.1083333333,26.0090060953,24.95,East Moyo,Pakelle,Uganda,Adjumani,,Sub-county,0.049165,Sub-county,1.255935,,6,239,1,UGA,1,,
6,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kole,Aboke,Uganda,Apac,,Sub-county,0.016683,Sub-county,0.675415,,7,239,2,UGA,2,,
7,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kole,Akalo,Uganda,Apac,,Sub-county,0.012633,Sub-county,0.487031,,8,239,2,UGA,2,,
8,24.65,24.0087462138,23.9333333333,25.1083333333,24.3701458352,24.2833333333,25.4416666667,24.7407613654,24.6583333333,25.0583333333,24.275407199,24.1833333333,24.9,24.2587462138,24.1833333333,25.25,24.6385719713,24.5666666667,25.025,24.3613768956,24.2833333333,25.05,24.3565511381,24.275,25.275,24.5890075775,24.5083333333,25.7083333333,24.8881250021,24.7916666667,25.325,24.6166382594,24.5333333333,24.6666666667,24.0850643954,24.0166666667,24.2666666667,23.7670852286,23.7083333333,24.3416666667,23.8719109861,23.8166666667,24.3666666667,23.9043674254,23.85,24.7666666667,24.3267367436,24.275,24.9,24.4153314406,24.3583333333,24.6166666667,24.1469109861,24.0916666667,Kole,Alito,Uganda,Apac,,Sub-county,0.02526,Sub-county,0.785434,,9,239,2,UGA,2,,
9,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kole,Ayer,Uganda,Apac,,Sub-county,0.016558,Sub-county,0.686207,,10,239,2,UGA,2,,
10,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kole,Balla,Uganda,Apac,Bala,Sub-county,0.016176,Sub-county,0.615553,,11,239,2,UGA,2,,
